사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
23-Aug,4호선,428,삼각지,6,1,739,347,"2,162","5,726","6,876","12,571","10,668","18,966","6,179","10,942","5,091","9,056","5,512","10,020","6,222","10,717","7,273","10,995","7,977","9,805","8,580","10,258","10,235","12,268","16,155","17,160","23,019","23,911","11,645","14,323","10,940","7,760","13,077","5,793","12,452","4,951","6,450","3,631",767,"1,185",0,9,0,0,0,0
23-Aug,4호선,429,신용산,8,0,"1,444","1,165","4,708","14,064","12,281","39,015","18,166","95,455","14,983","68,405","14,177","34,077","18,043","30,501","19,501","31,559","23,179","32,427","23,385","28,766","31,308","30,260","41,491","31,672","65,923","37,762","99,523","48,365","46,799","27,843","37,598","15,428","37,021","11,422","27,039","8,572","12,404","4,710","1,516","1,223",0,0,0,0,0,0
23-Aug,4호선,430,이촌(국립중앙박물관),16,2,"1,243",927,"4,890","7,603","12,575","13,353","16,801","25,986","11,264","24,614","8,937","28,608","10,864","25,223","18,029","25,378","20,974","27,391","23,472","25,338","29,431","23,051","36,649","19,307","39,108","17,913","36,348","22,524","13,541","14,794","10,925","9,055","9,224","7,914","4,644","7,244","1,734","3,995",187,"1,149",0,12,0,0,0,0
23-Aug,4호선,431,동작(현충원),8,0,220,371,624,"2,253","1,899","2,685","2,088","4,931","1,884","2,986","1,559","2,124","1,567","1,663","1,447","1,743","1,479","1,837","1,513","1,733","2,112","1,873","2,615","1,917","4,064","2,442","4,712","3,680","2,270","2,768","2,309","2,469","2,219","1,182","1,703",851,698,499,83,327,0,64,0,1,1,0
23-Aug,4호선,432,총신대입구(이수),106,4,"6,383",814,"17,691","9,642","47,229","17,852","57,870","42,471","35,745","30,415","26,878","24,452","25,892","23,961","27,618","25,215","28,113","28,066","26,251","29,002","26,588","33,848","29,960","39,691","35,655","52,414","42,881","76,060","25,531","48,283","22,994","27,845","19,748","24,825","16,626","21,340","7,612","12,598",903,"3,029",2,526,0,1,0,0
23-Aug,4호선,433,사당,307,75,"11,346","1,391","27,306","18,100","69,806","23,207","81,238","34,894","61,029","25,262","40,124","22,890","34,765","29,374","37,463","28,766","35,931","26,839","34,749","26,135","34,508","30,574","37,216","41,666","45,396","65,026","48,852","94,240","32,049","62,042","30,809","36,346","33,785","32,364","31,038","29,845","14,781","19,162","1,734","5,679",3,539,0,1,0,0
23-Aug,4호선,434,남태령,23,0,564,67,"1,146","1,792","2,539","5,177","4,765","5,283","2,892","1,849","2,275","1,241","2,251","1,190","2,038","1,399","2,021","1,289","2,164","1,386","2,257","1,452","3,048","1,500","5,152","1,617","4,075","1,999","1,662","2,121","1,591","1,619",754,"1,329",408,949,161,524,12,139,0,0,0,0,0,0
23-Aug,경부선,1001,서울역,6,5,44,620,142,"4,250","11,162","7,299","19,904","7,207","16,132","6,863","15,470","4,778","17,864","2,893","18,921","5,132","18,019","4,640","9,230","4,023","19,235","4,608","19,952","4,932","23,381","7,657","21,687","9,088","18,138","5,588","14,272","3,878","17,974","3,137","14,664","2,617","7,413",647,"1,153",48,0,0,0,0,0,0
23-Aug,경부선,1002,남영,171,1,"2,564","1,359","4,987","8,311","13,250","24,827","19,589","48,947","11,600","25,848","9,542","11,441","9,920","9,900","11,183","10,240","10,980","11,249","10,984","10,421","13,777","11,073","19,624","12,631","30,523","16,734","39,577","25,247","17,481","15,375","13,610","10,485","13,442","9,063","10,634","8,339","4,611","5,483",101,635,0,0,0,0,0,0
23-Aug,경부선,1003,용산,610,61,"5,610","5,729","7,127","37,312","22,048","79,243","33,519","147,999","40,697","113,093","37,677","87,274","52,354","83,186","52,914","82,627","65,255","87,047","54,797","79,989","94,775","80,652","111,076","77,814","128,993","81,625","162,971","92,103","110,050","59,934","101,585","39,044","99,809","27,724","68,337","16,608","26,843","8,243",639,"1,659",0,0,0,0,0,0
23-Aug,경부선,1004,노량진,651,2,"4,760","1,868","7,355","6,180","17,098","8,380","22,444","14,502","12,802","10,406","9,200","7,768","10,092","8,731","10,978","9,610","11,850","9,931","11,487","9,024","12,116","10,858","13,404","14,128","15,871","20,826","16,883","34,216","12,566","19,729","12,112","11,998","13,335","11,449","12,146","9,601","4,256","6,304",127,821,0,0,0,0,0,0
23-Aug,경부선,1005,대방,561,11,"5,216","2,010","10,013","8,535","24,253","30,593","28,502","41,867","16,852","19,411","13,075","11,088","12,454","9,957","13,321","10,564","12,715","12,444","13,061","11,356","14,265","12,689","15,271","15,094","27,806","21,035","35,502","31,578","12,816","20,458","9,700","14,105","8,391","13,807","5,982","12,490","1,802","7,907",72,"1,232",0,0,0,0,0,0
23-Aug,경부선,1006,영등포,"4,068",114,"16,160","6,138","16,527","24,158","39,162","58,725","57,084","129,982","40,525","91,392","39,273","75,403","44,412","81,750","53,255","90,327","57,086","95,334","58,542","78,112","80,782","76,294","101,156","78,111","122,766","86,317","157,911","110,710","98,903","69,479","95,999","39,667","75,581","30,993","59,216","25,729","22,161","14,939",594,"3,375",0,0,0,0,0,0
23-Aug,경부선,1007,신도림,508,4,"2,269",808,"3,737","3,195","8,938","6,780","10,554","14,320","6,004","6,841","4,026","4,823","3,750","4,237","4,212","4,348","4,185","4,653","4,054","4,250","4,421","5,043","5,713","6,088","8,771","8,449","12,401","12,882","5,849","7,630","4,685","4,507","4,746","4,101","3,241","3,604","1,380","2,213",64,860,0,0,0,0,0,0
23-Aug,경원선,1008,이촌(국립중앙박물관),68,0,"1,182",755,"3,769","2,675","8,652","4,665","9,172","8,963","7,548","5,121","6,184","3,739","5,915","3,551","6,121","3,721","6,231","4,500","5,878","4,039","6,817","4,836","8,111","5,456","9,916","6,325","10,271","8,345","5,402","6,195","4,650","4,264","4,281","4,062","2,807","4,081",937,"2,328",57,671,0,0,0,0,0,0
23-Aug,경원선,1009,서빙고,103,2,"1,137",785,"2,140","4,497","3,111","4,510","3,703","9,132","3,182","3,674","3,055","3,012","2,676","2,450","3,187","2,293","3,461","2,929","3,246","2,514","3,705","3,307","6,372","3,396","7,882","3,185","7,271","4,110","3,173","3,641","2,567","2,135","2,674","1,869","1,577","1,594",429,"1,013",24,264,0,0,0,0,0,0
23-Aug,경원선,1010,한남,186,3,"1,789",926,"2,357","6,173","4,349","11,233","5,371","14,962","4,702","10,258","4,708","6,242","5,066","4,977","5,363","5,338","4,984","5,214","5,625","4,617","7,837","4,304","9,471","5,911","14,899","6,604","14,429","7,137","6,817","6,026","5,145","3,285","5,402","3,322","4,839","2,412","1,896","1,411",100,351,0,0,0,0,0,0
23-Aug,경원선,1011,옥수,0,0,1,33,11,87,51,17,184,324,40,27,50,158,22,199,8,74,20,23,26,10,19,12,366,57,400,107,67,33,378,30,63,16,48,12,19,7,20,0,1,0,0,0,0,0,0,0
23-Aug,경원선,1012,응봉,161,0,"1,459",236,"2,958","1,103","7,218","1,421","7,284","2,146","4,932","1,430","3,561","1,386","2,887","1,364","2,577","1,538","2,566","1,902","2,277","2,327","2,374","2,444","2,586","3,473","2,680","4,119","2,432","5,133","1,578","4,883","1,236","3,001","1,049","2,640",855,"2,430",285,"1,482",23,482,0,0,0,0,0,0
23-Aug,경원선,1013,왕십리(성동구청),865,10,"5,985","1,326","9,170","6,982","28,582","12,848","43,106","21,849","26,862","17,825","18,038","19,696","17,809","22,103","21,889","24,207","23,789","26,023","24,982","26,357","26,843","28,825","31,149","33,639","36,128","46,498","34,716","68,011","26,894","46,972","26,327","28,330","28,472","22,950","26,601","22,238","11,985","11,167","1,256","4,473",1,1,0,0,0,0
23-Aug,경원선,1014,청량리(서울시립대입구),"1,426",36,"6,282","2,246","8,249","12,185","29,297","17,107","44,451","26,201","24,441","30,817","33,540","33,502","24,028","35,974","30,219","32,548","37,204","33,633","29,745","35,247","36,506","37,496","37,581","36,816","32,899","36,075","40,490","54,784","23,564","34,759","27,312","20,848","19,621","21,313","11,921","13,632","6,116","7,399",214,"3,390",0,0,0,0,0,0
23-Aug,중앙선,1015,회기,"1,054",8,"12,102","4,331","22,034","13,462","58,296","28,618","75,037","45,887","49,325","31,818","37,282","27,109","37,004","25,192","39,292","28,218","38,652","32,023","37,793","29,988","41,414","32,569","48,099","39,288","55,670","49,907","44,265","75,138","27,212","59,296","23,182","38,868","23,053","38,287","20,614","42,217","9,905","27,323",485,"5,109",0,0,0,0,0,0
23-Aug,경원선,1016,외대앞,637,17,"5,279","3,718","9,241","8,393","20,222","4,519","23,684","12,310","15,180","10,841","11,876","8,963","12,086","8,726","13,088","9,976","13,090","10,483","12,759","10,754","15,301","12,020","18,826","14,812","17,869","17,294","13,389","24,197","8,960","19,255","7,408","12,833","6,454","13,205","5,693","13,454","2,990","10,250",115,"2,147",0,0,0,0,0,0
23-Aug,경원선,1017,신이문,"1,554",2,"8,995","2,059","14,467","3,843","35,169","4,226","38,035","7,726","20,853","5,022","14,606","5,887","12,448","7,247","12,826","8,624","11,666","8,970","9,907","8,907","9,786","12,987","11,587","16,465","10,032","20,070","9,040","31,075","5,898","23,988","3,838","15,465","2,686","13,823","2,079","12,124",876,"7,654",61,"1,589",0,0,0,0,0,0
23-Aug,경원선,1018,석계,"1,278",7,"6,400","1,947","11,716","3,768","24,169","5,125","26,446","8,106","16,857","6,323","13,757","7,032","12,394","8,226","12,383","8,414","11,713","10,064","10,311","10,767","10,206","13,801","10,531","19,434","10,876","24,038","9,990","34,226","7,235","25,376","6,045","16,625","5,419","14,997","4,517","11,666","2,223","7,527",101,"1,714",0,0,0,0,0,0
23-Aug,경원선,1019,광운대,"2,274",10,"6,575","1,099","14,212","2,633","31,413","5,328","27,741","9,821","15,272","8,120","11,119","7,209","10,897","7,273","11,320","8,068","10,396","9,127","9,071","9,149","9,688","10,540","11,111","14,196","11,041","16,424","9,822","24,856","5,821","20,264","5,422","13,170","4,612","11,606","3,237","10,121","1,602","8,507",130,"4,016",0,2,0,0,0,0
23-Aug,경원선,1020,월계,"1,194",46,"5,082","1,171","10,262","2,850","25,213","6,777","22,009","10,256","14,619","5,743","10,812","5,227","9,779","5,776","9,860","6,372","8,673","7,189","7,946","6,863","8,456","8,674","10,007","11,040","8,201","13,761","8,179","21,516","4,945","18,014","3,699","10,072","2,826","9,299","2,019","8,221",864,"5,466",60,"1,207",0,0,0,0,0,0
23-Aug,경원선,1021,녹천,"1,338",34,"4,274",776,"8,302","1,659","21,330","4,222","18,656","4,737","10,173","2,806","7,458","3,455","6,364","3,150","7,118","4,146","5,623","4,106","4,805","4,287","4,782","5,373","6,381","6,802","5,530","9,578","4,422","14,146","3,272","12,242","2,147","7,498","1,660","6,527","1,414","5,540",471,"3,782",51,"1,037",0,0,0,0,0,0
23-Aug,경원선,1022,창동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23-Aug,분당선,1023,선릉,38,1,"1,099","1,540","2,610","11,823","5,301","47,800","6,525","136,509","6,132","91,918","7,069","40,467","8,988","25,936","11,241","23,255","12,517","23,697","14,120","18,452","19,175","15,275","26,904","17,488","52,004","20,869","80,329","24,778","35,431","14,274","21,644","7,341","19,890","6,063","18,157","5,339","4,680","3,098",210,707,0,0,0,0,0,0
23-Aug,분당선,1024,한티,25,3,"2,662","1,504","8,307","10,162","21,713","31,999","26,574","55,780","16,773","46,158","14,784","27,451","15,973","22,013","22,090","27,278","23,801","34,609","22,246","22,827","25,549","23,056","31,404","29,198","53,081","41,161","49,734","40,762","29,969","25,939","32,892","14,996","28,836","13,170","36,887","11,629","4,935","5,884",251,435,0,0,0,0,0,0
23-Aug,분당선,1025,도곡,72,2,"1,603","1,442","4,449","8,466","9,956","15,320","14,285","25,529","11,074","19,424","9,363","9,273","9,740","8,730","10,553","8,736","11,430","9,318","11,865","8,754","14,315","9,204","18,076","10,295","23,137","12,673","25,354","15,519","12,756","12,290","8,626","7,809","6,994","6,711","5,366","6,366","1,291","3,594",61,341,0,0,0,0,0,0
23-Aug,분당선,1026,구룡,1,0,596,"1,527","1,547","11,685","3,755","8,212","5,065","6,029","3,712","2,944","3,206","2,298","2,896","1,583","3,159","2,131","3,025","2,389","3,053","2,316","4,724","2,632","12,337","2,890","7,869","3,562","4,994","4,284","2,844","3,533","1,962","2,151","2,018","1,934",729,"1,935",179,"1,287",12,57,0,0,0,0,0,0
23-Aug,분당선,1027,개포동,1,0,"1,064",644,"4,595","3,261","12,803","6,239","13,787","10,484","8,764","8,946","7,254","7,120","6,701","5,644","7,430","6,904","6,936","7,382","6,950","7,160","7,861","7,414","9,415","8,399","10,030","10,582","9,606","14,418","6,036","11,922","5,191","6,980","5,201","6,409","4,786","6,543","1,631","3,657",52,129,0,0,0,0,0,0
23-Aug,분당선,1028,대모산입구,13,0,"2,462",767,"7,119","2,846","22,340","6,508","23,625","10,717","13,194","6,575","9,082","4,695","8,321","5,110","8,973","5,868","7,635","6,701","6,692","6,155","7,332","8,287","9,374","9,360","10,241","12,771","10,385","18,219","5,417","15,438","3,289","9,242","2,897","8,807","1,929","9,059",640,"5,024",14,270,0,0,0,0,0,0
23-Aug,분당선,1030,수서,25,0,"3,650","3,647","7,705","15,995","26,404","28,940","40,620","46,487","25,926","27,168","25,718","20,165","19,218","16,380","23,527","20,104","21,955","19,111","15,480","18,284","25,098","21,229","28,076","25,707","37,970","33,208","42,215","44,755","19,758","31,461","19,416","20,419","14,330","17,765","14,906","15,620","8,132","6,371",213,940,0,0,0,0,0,0
23-Aug,분당선,1031,복정,0,0,0,0,0,0,1,0,1,0,6,0,2,0,0,0,0,0,1,0,2,0,1,0,1,0,3,0,2,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
23-Aug,경부선,1032,신길,"1,021",4,"10,054","1,954","10,689","4,712","24,294","17,087","31,181","25,659","17,484","10,163","10,876","6,301","9,507","5,849","11,196","6,683","9,767","7,236","8,920","7,334","9,624","8,680","12,349","10,680","17,811","14,825","26,952","22,069","10,183","14,917","7,354","11,023","6,055","11,476","4,395","10,318","1,731","5,951",82,"1,226",0,0,0,0,0,0
23-Aug,중앙선,1201,중랑,232,3,"7,274",617,"10,464","2,257","23,962","3,661","20,896","6,748","14,937","5,879","9,205","4,724","8,998","4,937","8,515","5,850","8,405","6,718","7,272","6,883","6,764","9,392","7,422","11,553","7,366","15,765","7,829","20,836","5,050","17,230","3,771","11,480","2,695","8,224","2,057","8,689",811,"4,720",27,385,0,0,0,0,0,0
23-Aug,중앙선,1202,상봉(시외버스터미널),778,23,"6,984",851,"9,144","2,546","22,021","5,217","24,387","7,712","13,588","6,160","8,703","5,034","7,547","6,435","9,599","7,699","7,404","7,091","7,282","6,996","7,235","8,860","7,419","10,167","8,412","13,462","9,474","23,304","6,367","19,940","4,841","11,075","4,515","9,003","2,938","9,685","1,437","5,403",103,"1,092",0,0,0,0,0,0
23-Aug,중앙선,1203,망우,589,16,"8,788","1,118","12,909","3,064","31,083","5,616","25,087","12,213","16,047","9,425","12,364","9,492","11,346","9,989","12,570","10,589","12,106","10,858","10,934","11,035","10,891","12,114","11,485","15,877","12,445","18,879","13,235","29,037","9,059","20,584","6,090","13,676","5,112","9,482","3,403","9,552","1,403","6,197",26,724,0,0,0,0,0,0
23-Aug,중앙선,1204,양원,84,0,"2,845",429,"4,929","2,165","13,853","6,390","10,613","6,475","6,997","2,584","4,664","2,771","3,896","2,930","4,191","2,671","3,938","3,566","3,480","2,710","4,806","3,748","6,750","4,824","5,111","6,308","3,653","9,990","2,284","9,684","1,589","5,500","1,275","3,783",901,"4,109",296,"2,472",0,207,0,0,0,0,0,0
23-Aug,중앙선,1205,구리,"1,190",14,"10,968","2,223","22,310","7,206","57,878","8,883","48,279","19,810","25,785","16,463","19,361","14,020","18,098","12,835","18,623","14,099","16,453","16,412","15,625","15,479","16,681","19,491","19,531","22,837","20,517","33,457","19,878","51,000","12,982","46,353","11,386","24,079","7,674","20,044","6,912","18,691","2,086","12,627",24,"1,943",0,0,0,0,0,0
23-Aug,중앙선,1206,도농,"1,153",3,"8,660","1,238","23,877","4,340","61,397","8,365","41,646","14,659","25,309","7,907","17,375","7,606","15,235","7,761","14,174","9,135","12,630","10,112","10,812","10,784","10,860","13,961","14,143","16,976","16,813","26,040","14,462","43,822","7,266","36,224","5,313","20,589","4,529","17,105","3,166","14,748","1,051","11,614",35,"2,272",0,0,0,0,0,0
23-Aug,중앙선,1207,양정,93,2,249,292,829,"1,260","1,675","1,542","1,523","1,940","1,003",988,847,738,865,577,851,630,928,535,"1,047",550,"1,196",687,"1,439",830,"1,932",991,"1,974","1,202",820,764,455,390,359,474,121,331,57,264,2,91,0,0,0,0,0,0
23-Aug,중앙선,1208,덕소,"1,450",4,"3,413",972,"10,350","2,011","24,293","3,620","18,301","7,638","11,690","5,783","10,088","5,127","8,874","4,640","8,009","6,043","7,837","6,769","7,107","6,453","7,157","8,428","7,616","10,109","8,120","14,472","6,831","17,606","4,341","16,935","3,422","9,589","2,606","9,217","2,094","8,116",884,"6,618",4,"1,599",0,0,0,0,0,0
23-Aug,중앙선,1209,도심,9,1,"1,909",749,"5,432","1,485","12,739","1,706","7,849","5,397","5,268","1,829","3,997","1,596","3,087","1,494","3,385","1,797","2,844","1,704","2,665","1,662","2,471","3,211","3,605","2,248","3,190","5,159","3,407","5,278","1,525","6,025","1,157","3,491",895,"2,965",721,"3,174",232,"1,918",0,0,0,0,0,0,0,0
23-Aug,중앙선,1210,팔당,3,0,291,132,644,786,"1,498","1,609","1,477","3,101","1,196","3,048","1,118","2,510","1,085","2,302","1,176","2,143","1,407","1,415","1,764","1,578","2,176","1,559","2,506","1,550","2,559","1,520","2,679","1,738","1,856","1,078","1,712",842,"1,292",533,805,421,175,180,0,0,0,0,0,0,0,0
23-Aug,중앙선,1211,운길산,0,0,262,149,735,660,"1,387",796,"1,733","1,337","1,057","1,939","1,081","1,844","1,166","1,830","1,273","1,672","1,563","1,100","1,895","1,345","2,069","1,168","1,940","1,191","1,801","1,136","1,263","1,147",961,"1,244",668,677,370,608,164,556,35,379,0,2,0,0,0,0,0,0
23-Aug,중앙선,1212,양수,19,0,901,280,"2,303","1,306","6,147","2,423","4,526","3,792","4,644","3,963","3,150","3,475","3,376","3,423","3,492","3,305","3,803","3,448","3,633","3,157","4,806","3,273","4,773","3,663","4,560","4,511","3,877","3,898","1,918","4,134","1,877","3,512","1,096","2,864",460,"2,400",162,"1,634",0,135,0,0,0,0,0,0
23-Aug,중앙선,1213,신원,1,0,186,14,222,319,425,618,400,335,430,362,347,362,318,348,431,249,373,270,447,229,446,209,557,252,452,317,771,297,179,243,120,262,81,226,32,175,9,75,1,18,0,1,0,0,0,0
23-Aug,중앙선,1214,국수,20,0,685,39,"1,337",309,"2,267",587,"1,949","1,325","1,880",976,"1,326",966,"1,197","1,136","1,234","1,093","1,157",963,"1,003",891,"1,776","1,332","1,524","1,386",909,"1,639",824,"1,730",465,"1,445",305,"1,463",282,"1,216",124,890,21,578,3,117,0,0,0,0,0,0
23-Aug,중앙선,1215,아신,30,2,604,47,936,279,"1,901",592,"1,526",992,"1,275","1,010","1,338","1,310","1,126",995,"1,132","1,022",957,835,"1,033",726,"1,180","1,060","1,336","1,132","1,077","1,602",998,"1,443",642,972,458,948,217,"1,070",182,682,21,724,4,82,0,0,0,0,0,0
23-Aug,중앙선,1216,오빈,8,0,305,62,577,364,831,338,933,811,802,468,927,477,552,409,535,459,529,316,374,331,468,582,513,581,643,984,560,890,267,468,224,473,135,549,77,377,2,227,1,47,0,0,0,0,0,0
23-Aug,중앙선,1217,양평,72,1,"1,918",143,"3,757","2,118","7,806","3,643","6,308","7,716","5,312","4,522","6,771","4,382","5,607","5,800","6,242","6,148","5,956","4,034","6,180","5,496","5,793","5,801","6,890","5,580","6,532","7,858","6,228","7,173","3,618","5,091","3,268","6,147","2,295","3,613","1,828","2,877",288,"3,571",97,875,0,0,0,0,0,0
23-Aug,중앙선,1218,원덕,98,3,329,11,628,159,934,509,"1,109",614,948,426,933,633,724,638,725,657,657,385,683,597,641,736,818,689,549,986,603,954,346,662,209,610,103,553,30,355,7,268,1,83,0,0,0,0,0,0
23-Aug,중앙선,1219,용문,487,1,"1,016",6,"2,372",640,"3,759","2,695","4,860","4,022","3,558","3,654","4,175","4,286","4,151","11,359","5,263","7,832","6,993","6,419","7,622","5,445","8,868","3,839","8,540","5,525","6,418","4,783","4,042","4,133","2,318","3,149","1,104","3,556",837,"1,927",307,"1,537",0,"1,559",1,690,0,0,0,0,0,0
23-Aug,중앙선,1220,지평,0,0,0,0,3,2,368,278,217,147,3,0,452,397,3,12,3,0,80,98,481,473,5,4,2,2,132,89,36,259,226,326,2,2,41,139,11,71,7,5,0,0,0,1,0,0,0,0
23-Aug,경의선,1252,신촌,0,0,286,9,284,"1,212",656,"4,369",610,"5,413",818,"3,962",747,"1,673",791,"1,221","1,104","1,300",961,"2,059",959,"1,235","1,376",931,"1,943",956,"3,928","1,336","3,678","1,853","2,295","1,352","1,022",776,"1,133",410,949,147,403,409,2,64,0,0,0,0,0,0
23-Aug,경의선,1261,효창공원앞,0,0,965,164,"2,017","2,562","5,261","7,031","8,409","17,793","5,601","8,860","3,444","3,817","3,355","3,229","3,514","3,404","3,601","3,685","3,533","3,621","4,084","3,842","5,064","4,341","8,187","5,904","14,503","8,453","5,118","6,840","3,383","4,078","2,926","4,291","2,362","3,674","1,031","2,690",35,273,0,0,0,0,0,0
23-Aug,경의선,1263,서강대,4,0,634,114,"1,648","1,459","3,194","3,080","4,083","8,224","3,014","5,896","2,593","2,991","2,732","2,942","3,294","2,997","3,151","3,296","3,119","3,089","3,585","2,969","4,379","3,568","6,113","4,143","6,339","4,540","3,807","3,613","3,429","2,215","3,652","2,230","3,178","2,108","1,148","1,260",12,101,0,0,0,0,0,0
23-Aug,경의선,1265,가좌,12,0,"3,783",292,"8,381","2,236","22,739","4,107","25,635","9,440","12,107","7,528","9,029","5,510","8,138","5,974","8,457","5,787","7,293","8,079","7,010","6,690","7,422","8,737","7,912","10,848","8,187","14,784","9,144","20,422","5,526","16,406","3,862","10,078","3,476","6,614","2,727","6,714","1,048","4,822",14,538,0,0,0,0,0,0
23-Aug,경의선,1267,수색,12,0,"1,285",432,"3,151","3,009","5,472","5,560","6,261","18,121","4,066","8,769","2,824","3,880","2,899","2,856","2,972","2,652","2,880","3,166","2,862","2,564","3,695","3,037","5,222","3,560","8,930","5,046","12,883","5,637","5,806","4,313","3,267","3,009","2,348","1,986","1,742","2,417",721,"1,663",12,331,0,0,0,0,0,0
23-Aug,경의선,1268,화전,3,0,688,558,"1,786","1,697","4,261","2,229","4,240","6,143","2,751","4,922","2,260","4,313","2,524","2,498","2,689","2,573","2,551","3,279","3,547","2,747","3,783","2,171","5,108","2,555","6,191","3,014","5,456","3,678","2,879","3,112","1,905","2,015","1,527","1,739","1,073","1,964",626,"1,310",94,482,0,0,0,0,0,0
23-Aug,경의선,1269,강매,0,0,"2,474",322,"6,787","1,101","19,110","1,240","16,916","3,514","7,967","1,308","5,118","1,283","3,996","1,633","3,749","1,718","3,048","2,252","2,663","2,419","2,615","3,115","3,161","4,885","3,130","6,598","3,565","11,790","1,423","11,386",920,"6,507",876,"5,640",504,"5,339",288,"3,256",4,"1,228",0,0,0,0,0,0
23-Aug,경의선,1270,행신,5,0,"4,082","1,651","14,520","4,917","38,650","6,880","32,662","10,356","15,066","7,776","11,364","5,643","11,586","8,278","10,794","7,672","8,818","9,489","7,635","8,290","7,761","9,020","10,879","14,152","14,960","19,741","10,649","37,723","7,214","28,792","8,249","14,196","6,265","13,339","6,210","11,473","2,850","6,587",129,"2,514",0,0,0,0,0,0
23-Aug,경의선,1271,능곡,131,4,"3,808",631,"10,396","2,469","20,369","3,367","18,778","6,353","10,933","4,115","7,745","3,783","6,666","4,209","6,483","4,601","6,041","4,764","5,566","5,136","5,648","6,016","6,776","7,908","6,993","10,719","6,415","17,079","3,847","13,449","2,680","8,540","2,700","8,166","1,414","7,083",761,"4,901",54,"2,854",0,0,0,0,0,0
23-Aug,경의선,1272,곡산,1,0,483,199,"1,095",798,"1,671","1,496","1,416","2,563","1,016",926,809,706,741,716,690,779,717,625,931,635,914,679,"1,025",899,"1,824","1,263","2,101","1,821",684,"1,240",490,763,398,691,235,554,82,404,5,36,0,0,0,0,0,0
23-Aug,경의선,1273,백마,24,0,"4,773",898,"16,783","4,180","34,760","5,928","24,836","10,471","13,179","5,562","10,111","4,593","9,230","4,224","9,198","5,467","8,359","6,267","7,293","6,872","8,556","8,057","9,829","9,583","10,673","13,614","10,857","27,795","4,723","25,106","3,778","12,712","3,266","13,108","3,157","11,339",877,"9,766",67,752,0,0,0,0,0,0
23-Aug,경의선,1274,풍산,46,0,"4,124",337,"10,607","2,911","24,510","4,276","19,266","7,955","12,536","6,457","8,493","4,967","8,112","6,180","8,310","6,246","8,030","6,825","7,769","6,022","8,166","6,900","9,031","9,235","9,120","12,437","8,696","20,342","5,284","16,407","4,536","11,344","4,599","10,779","2,849","8,709",795,"6,964",90,830,0,0,0,0,0,0
23-Aug,경의선,1275,일산,162,2,"8,390",874,"24,949","3,160","48,937","7,234","33,777","16,189","20,009","8,452","14,734","7,246","14,897","8,309","13,611","9,010","12,445","10,517","11,517","11,461","12,418","11,963","13,997","15,076","14,521","22,733","12,936","37,962","7,205","36,630","5,252","17,161","4,637","18,797","4,077","16,127","1,271","9,421",101,"3,308",0,0,0,0,0,0
23-Aug,경의선,1276,탄현,35,0,"6,614",534,"21,699","3,197","36,188","6,154","28,021","9,627","15,176","6,078","11,430","4,628","10,857","5,678","10,526","6,037","9,636","6,287","8,682","8,457","9,689","9,196","10,530","11,822","10,675","18,617","11,805","30,153","6,228","31,166","4,916","14,947","4,260","14,549","3,199","11,492","1,224","8,249",185,"2,414",0,0,0,0,0,0
23-Aug,경의선,1277,야당,117,1,"5,735",351,"17,547","3,284","31,607","5,288","28,084","9,137","14,659","8,039","11,790","6,282","10,740","7,942","10,891","8,568","9,748","8,982","9,301","10,537","10,102","12,081","11,869","16,134","12,520","24,852","11,670","34,821","8,860","31,924","9,266","16,733","10,168","14,235","9,497","12,032","4,703","8,681",873,"2,505",0,0,0,0,0,0
23-Aug,경의선,1278,운정,32,4,"4,772",933,"18,618","7,231","29,826","7,619","26,183","11,131","14,077","6,114","10,871","5,034","9,586","5,170","9,576","5,767","8,513","5,592","7,402","6,631","8,365","8,689","11,120","11,842","12,386","15,681","12,131","23,597","5,771","22,129","4,230","12,238","3,518","10,965","2,600","9,203",570,"6,251",64,"1,762",0,0,0,0,0,0
