사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
23-Aug,2호선,205,동대문역사문화공원(DDP),205,9,"4,494","1,329","4,130","8,672","6,920","20,974","12,287","46,124","14,202","31,428","15,276","29,607","17,942","28,012","20,614","28,035","22,065","28,258","25,109","28,863","30,761","27,027","38,061","25,752","43,347","28,485","45,701","33,433","29,129","29,143","23,200","22,422","22,802","19,458","20,310","16,364","9,615","9,953","1,976","3,054",0,41,0,0,0,0
23-Aug,2호선,206,신당,25,0,"6,242","1,219","11,966","8,832","28,651","16,115","47,602","29,860","27,764","21,798","19,437","18,300","18,276","19,507","20,945","20,495","21,691","21,476","20,816","21,986","21,745","23,951","25,626","28,787","30,584","37,636","32,372","55,928","22,601","34,375","17,267","22,037","15,807","19,226","14,259","18,562","7,073","10,847","1,342","3,386",0,9,0,0,0,0
23-Aug,2호선,207,상왕십리,29,0,"6,105",714,"13,775","6,355","40,996","12,762","64,034","31,264","35,239","18,870","21,986","13,362","19,355","12,476","21,033","14,764","19,834","15,853","18,241","16,540","19,235","19,219","21,066","24,099","25,350","34,546","26,915","54,638","17,747","35,085","11,724","23,010","10,090","21,533","7,148","20,820","2,686","12,330",478,"4,097",0,3,0,0,0,0
23-Aug,2호선,208,왕십리(성동구청),875,5,"6,808",989,"9,951","7,209","25,250","13,456","43,515","26,396","27,946","18,335","18,203","14,913","18,022","15,801","20,514","17,817","21,239","18,533","20,694","18,781","23,011","20,762","28,101","24,524","31,725","34,141","34,176","54,930","21,084","32,548","20,275","20,693","23,502","18,191","23,074","17,882","12,389","11,369","2,276","4,711",1,20,0,0,0,0
23-Aug,2호선,209,한양대,7,0,"1,036",510,"2,642","6,235","5,615","10,987","8,885","39,717","6,352","35,352","6,052","17,569","8,151","11,072","9,415","12,370","11,246","14,836","10,208","11,304","12,393","8,749","21,226","8,852","36,947","9,395","30,951","11,351","13,659","7,352","9,381","5,767","8,324","5,354","6,967","5,384","3,568","3,608",872,"1,133",0,3,0,0,0,0
23-Aug,2호선,210,뚝섬,12,1,"3,403","2,603","8,217","16,628","17,899","41,253","25,905","136,751","16,691","92,560","14,463","41,709","16,428","33,968","20,173","35,628","24,367","37,058","28,672","32,523","36,776","32,621","48,355","34,935","76,820","39,159","133,696","47,887","65,304","27,965","46,158","15,131","40,747","12,677","27,061","11,502","10,298","7,131","1,630","2,543",0,69,0,0,0,0
23-Aug,2호선,211,성수,90,0,"5,402","3,590","9,575","31,594","22,453","75,180","30,559","258,451","23,178","150,230","20,825","72,619","24,411","58,674","30,583","62,423","38,049","64,865","45,064","61,423","57,729","59,753","74,144","61,256","131,346","64,801","246,541","72,344","114,450","42,713","80,695","21,424","70,714","16,111","49,768","13,820","20,366","10,418","2,981","5,324",5,885,0,1,0,0
23-Aug,2호선,212,건대입구,251,4,"16,067","1,826","22,568","15,235","53,762","24,103","90,068","59,208","60,763","50,260","38,018","41,372","35,693","44,901","40,641","50,258","43,027","55,651","44,912","56,119","49,938","61,640","60,028","74,244","70,669","99,163","83,272","147,860","62,514","101,093","63,276","63,087","68,918","57,122","68,797","51,607","41,990","29,979","7,222","10,552",6,760,0,0,0,0
23-Aug,2호선,213,구의(광진구청),51,4,"14,276","1,633","27,268","20,553","69,036","16,766","113,700","40,112","70,731","23,718","36,678","19,575","29,519","19,314","31,177","22,090","29,841","25,098","26,788","26,737","28,087","33,145","37,621","41,373","38,579","57,132","45,163","95,816","24,424","67,234","18,700","44,796","16,574","42,112","15,299","38,436","7,667","21,732","1,251","7,034",2,73,0,0,0,0
23-Aug,2호선,214,강변(동서울터미널),34,0,"8,883","2,143","28,090","22,069","77,944","24,716","113,417","44,788","82,099","38,082","62,917","37,073","54,435","34,400","49,982","39,033","47,757","42,081","42,426","45,819","45,441","53,551","48,433","61,170","55,580","76,702","60,024","109,698","42,475","74,212","34,245","52,055","28,199","42,809","20,093","41,594","7,969","20,929","1,066","5,315",0,0,0,0,0,0
23-Aug,2호선,215,잠실나루,13,0,"3,447","2,748","12,799","15,032","37,767","23,379","45,779","39,374","29,970","25,188","23,400","18,698","23,771","16,960","23,352","19,935","20,687","20,282","22,074","18,619","24,737","18,306","32,815","20,206","36,477","27,544","30,858","40,327","15,496","28,972","11,222","18,265","8,319","17,102","6,067","16,783","2,627","8,922",385,"2,538",0,12,0,0,0,0
23-Aug,2호선,216,잠실(송파구청),88,2,"13,104","5,069","50,254","33,908","119,548","80,733","163,693","180,575","118,426","161,655","78,458","131,815","79,318","127,754","89,447","122,658","99,878","122,960","109,032","120,979","127,643","128,065","156,958","142,210","200,155","181,520","239,770","241,416","162,288","150,879","165,968","96,885","159,135","90,275","110,075","81,461","32,044","42,958","4,563","8,492",0,96,0,0,0,0
23-Aug,2호선,217,잠실새내,33,1,"5,604",954,"18,660","9,132","57,010","16,182","76,895","29,387","49,357","30,984","33,242","24,422","31,941","26,555","33,432","29,416","32,985","33,223","30,107","35,540","33,924","40,759","36,699","48,187","40,334","63,195","42,671","89,935","31,751","60,791","28,105","36,612","26,903","31,852","26,854","30,444","14,515","16,116","2,566","4,495",0,34,0,0,0,0
